Date,Time,Temp,Humidity,Heat
2024-01-01,00:00:00,23.76,49.02,74.77
2024-01-01,00:30:00,23.16,61.89,73.69
2024-01-01,01:00:00,22.84,72.48,73.11
2024-01-01,01:30:00,26.53,59.08,79.75
2024-01-01,02:00:00,26.51,46.79,79.72
2024-01-01,02:30:00,22.54,72.28,72.57
2024-01-01,03:00:00,25.99,40.26,78.78
2024-01-01,03:30:00,26.91,48.83,80.44
2024-01-01,04:00:00,25.67,69.23,78.21
2024-01-01,04:30:00,27.46,57.45,81.43
2024-01-01,05:00:00,25.57,73.56,78.03
2024-01-01,05:30:00,25.95,79.77,78.71
2024-01-01,06:00:00,22.83,52.8,73.09
2024-01-01,06:30:00,26.8,65.73,80.24
2024-01-01,07:00:00,23.5,42.39,74.3
2024-01-01,07:30:00,27.28,46.88,81.1
2024-01-01,08:00:00,25.2,49.44,77.36
2024-01-01,08:30:00,27.58,73.12,81.64
2024-01-01,09:00:00,22.58,69.37,72.64
2024-01-01,09:30:00,26.72,50.69,80.1
2024-01-01,10:00:00,22.58,74.72,72.64
2024-01-01,10:30:00,24.36,59.36,75.85
2024-01-01,11:00:00,27.37,50.33,81.27
2024-01-01,11:30:00,26.41,46.34,79.54
2024-01-01,12:00:00,25.49,44.0,77.88
2024-01-01,12:30:00,25.42,42.43,77.76
2024-01-01,13:00:00,25.56,49.84,78.01
2024-01-01,13:30:00,22.31,50.04,72.16
2024-01-01,14:00:00,23.39,58.41,74.1
2024-01-01,14:30:00,24.86,41.99,76.75
2024-01-01,15:00:00,22.25,49.38,72.05
2024-01-01,15:30:00,22.92,75.85,73.26
2024-01-01,16:00:00,23.93,55.55,75.07
2024-01-01,16:30:00,22.38,50.75,72.28
2024-01-01,17:00:00,26.53,54.49,79.75
2024-01-01,17:30:00,25.46,59.63,77.83
2024-01-01,18:00:00,22.92,74.16,73.26
2024-01-01,18:30:00,24.9,78.76,76.82
2024-01-01,19:00:00,25.07,76.09,77.13
2024-01-01,19:30:00,27.9,45.51,82.22
2024-01-01,20:00:00,24.34,49.78,75.81
2024-01-01,20:30:00,25.9,73.06,78.62
2024-01-01,21:00:00,27.66,64.47,81.79
2024-01-01,21:30:00,22.53,75.06,72.55
2024-01-01,22:00:00,23.0,41.32,73.4
2024-01-01,22:30:00,26.12,55.19,79.02
2024-01-01,23:00:00,24.59,79.87,76.26
2024-01-01,23:30:00,27.35,46.81,81.23
2024-01-02,00:00:00,27.46,76.43,81.43
2024-01-02,00:30:00,25.61,45.94,78.1
2024-01-02,01:00:00,26.34,65.29,79.41
2024-01-02,01:30:00,24.81,50.35,76.66
2024-01-02,02:00:00,27.49,44.77,81.48
2024-01-02,02:30:00,23.25,70.6,73.85
2024-01-02,03:00:00,24.34,50.7,75.81
2024-01-02,03:30:00,22.46,51.68,72.43
2024-01-02,04:00:00,27.92,50.35,82.26
2024-01-02,04:30:00,22.71,42.36,72.88
2024-01-02,05:00:00,23.58,62.97,74.44
2024-01-02,05:30:00,27.07,67.6,80.73
2024-01-02,06:00:00,24.22,64.04,75.6
2024-01-02,06:30:00,22.23,63.52,72.01
2024-01-02,07:00:00,25.21,56.58,77.38
2024-01-02,07:30:00,24.99,79.48,76.98
2024-01-02,08:00:00,22.6,77.47,72.68
2024-01-02,08:30:00,26.49,50.62,79.68
2024-01-02,09:00:00,23.23,51.12,73.81
2024-01-02,09:30:00,27.01,54.83,80.62
2024-01-02,10:00:00,25.1,56.17,77.18
2024-01-02,10:30:00,26.49,79.06,79.68
2024-01-02,11:00:00,25.95,45.32,78.71
2024-01-02,11:30:00,22.03,71.47,71.65
2024-01-02,12:00:00,25.68,77.54,78.22
2024-01-02,12:30:00,23.44,50.18,74.19
2024-01-02,13:00:00,22.69,69.32,72.84
2024-01-02,13:30:00,22.31,56.35,72.16
2024-01-02,14:00:00,26.36,68.61,79.45
2024-01-02,14:30:00,23.16,64.4,73.69
2024-01-02,15:00:00,25.16,75.2,77.29
2024-01-02,15:30:00,25.21,72.28,77.38
2024-01-02,16:00:00,22.26,57.2,72.07
2024-01-02,16:30:00,22.61,51.9,72.7
2024-01-02,17:00:00,22.95,50.52,73.31
2024-01-02,17:30:00,24.97,62.15,76.95
2024-01-02,18:00:00,22.05,70.96,71.69
2024-01-02,18:30:00,23.14,44.36,73.65
2024-01-02,19:00:00,25.63,73.42,78.13
2024-01-02,19:30:00,23.28,63.79,73.9
2024-01-02,20:00:00,26.3,71.76,79.34
2024-01-02,20:30:00,26.26,69.6,79.27
2024-01-02,21:00:00,24.17,69.41,75.51
2024-01-02,21:30:00,23.35,60.63,74.03
2024-01-02,22:00:00,25.65,72.89,78.17
2024-01-02,22:30:00,23.66,70.87,74.59
2024-01-02,23:00:00,23.64,57.23,74.55
2024-01-02,23:30:00,27.32,52.14,81.18
2024-01-03,00:00:00,25.74,48.53,78.33
2024-01-03,00:30:00,22.71,69.1,72.88
2024-01-03,01:00:00,23.61,76.42,74.5
2024-01-03,01:30:00,27.46,61.99,81.43
2024-01-03,02:00:00,23.27,76.82,73.89
